,Name,Address,Street Area,Contact Detail,Image URL
0,AC MARRIOTT,1712 Commerce,Main Street District,214-290-0111,https://downtowndallas.com/wp-content/uploads/2018/09/AC-Marriot.jpg
1,ADOLPHUS HOTEL,1321 Commerce St,Main Street District,214-742-8200,https://downtowndallas.com/wp-content/uploads/2018/09/AC-Marriot.jpg
2,ALOFT,1033 Young Street,Civic Center,214-761-0000,https://downtowndallas.com/wp-content/uploads/2018/09/AC-Marriot.jpg
3,BELMONT HOTEL,901 Fort Worth Av,Trinity Groves,214-393-2300,https://downtowndallas.com/wp-content/uploads/2018/09/Adolphus.jpg
4,CAMBRIA HOTEL,1907 Elm St,Main Street District,214-220-2900,https://downtowndallas.com/wp-content/uploads/2018/09/Adolphus.jpg
5,CANOPY BY HILTON,2950 Cityplace West,Uptown,214-522-2929,https://downtowndallas.com/wp-content/uploads/2018/09/Adolphus.jpg
6,COURTYARD BY MARRIOTT,310 S Houston St.,Main Street District,214-238-6589,https://downtowndallas.com/wp-content/uploads/2018/09/Aloft.jpg
7,CROWNE PLAZA DALLAS,1015 Elm Street,Main Street District,877-270-1393,https://downtowndallas.com/wp-content/uploads/2018/09/Aloft.jpg
8,DALLAS MARRIOTT DOWNTOWN,650 North Pearl St.,Main Street District,214-979-9000,https://downtowndallas.com/wp-content/uploads/2018/09/Aloft.jpg
9,ELEMENT BY WESTIN,4005 Gaston,Old East Dallas,469-399-1049,https://downtowndallas.com/wp-content/uploads/2018/09/Belmont.jpg
10,FAIRFIELD INN,555 S Ervay,Dallas Arts District,Civic Center,https://downtowndallas.com/wp-content/uploads/2018/09/Belmont.jpg
11,FAIRMONT HOTEL,1717 North Akard Str,Dallas Arts District,214-720-2020,https://downtowndallas.com/wp-content/uploads/2018/09/Belmont.jpg
12,HALL ARTS HOTEL,2323 Ross Ave,Visit Site,214-269-9535,https://downtowndallas.com/wp-content/uploads/2018/09/Cambria.jpg
13,HAMPTON INN & SUITES DALLAS DOWNTOWN,1700 Commerce Street,Main Street District,214-290-9090,https://downtowndallas.com/wp-content/uploads/2018/09/Cambria.jpg
14,HILTON GARDEN INN DOWNTOWN DALLAS,1600 Pacific Ave,Main Street District,214-299-8982,https://downtowndallas.com/wp-content/uploads/2018/09/Cambria.jpg
15,HOME 2 SUITES BY HILTON,3301 Gaston,Old East Dallas,214-765-2690,https://downtowndallas.com/wp-content/uploads/2018/09/Canopy.jpg
16,HOMEWOOD SUITES,1025 Elm Street,Main Street District,214-748-4000,https://downtowndallas.com/wp-content/uploads/2018/09/Canopy.jpg
17,HOTEL INDIGO,1933 Main Street,Main Street District,214-741-7700,https://downtowndallas.com/wp-content/uploads/2018/09/Canopy.jpg
18,HOTEL SAINT GERMAIN,2516 Maple Avenue,Uptown,214-871-2516,https://downtowndallas.com/wp-content/uploads/2018/09/Courtyard-by-marriot.jpg
19,HOTEL ZAZA,2332 Leonard Street,Uptown,214-468-8399,https://downtowndallas.com/wp-content/uploads/2018/09/Courtyard-by-marriot.jpg
20,HYATT REGENCY DALLAS,300 Reunion Blvd,Reunion District,214-651-1234,https://downtowndallas.com/wp-content/uploads/2018/09/Courtyard-by-marriot.jpg
21,LA QUINTA (HOTEL LAWRENCE),302 South Houston Street,Reunion District,214-761-9090,https://downtowndallas.com/wp-content/uploads/2018/09/crowne-plaza-dallas-e1546627876794.jpeg
22,LORENZO HOTEL,1011 S Akard,The Cedars,214-273-3000,https://downtowndallas.com/wp-content/uploads/2018/09/crowne-plaza-dallas-e1546627876794.jpeg
23,MAGNOLIA HOTEL,1401 Commerce Street,Main Street District,214-915-6500,https://downtowndallas.com/wp-content/uploads/2018/09/crowne-plaza-dallas-e1546627876794.jpeg
24,MARRIOTT RESIDENCE INN,1712 Commerce,Main Street District,214-290-0122,https://downtowndallas.com/wp-content/uploads/2018/09/Lobby_JPG.jpg
25,MARRIOTT TOWNE PLACE,555 Evergreen Street,Civic Center,214-749-5155,https://downtowndallas.com/wp-content/uploads/2018/09/Lobby_JPG.jpg
26,NYLO DALLAS SOUTH SIDE,1325 South Lamar,Visit Site,214-421-1080,https://downtowndallas.com/wp-content/uploads/2018/09/Lobby_JPG.jpg
27,OMNI DALLAS CONVENTION CENTER HOTEL,555 South Lamar Stre,The Cedars,214-744-6664,https://downtowndallas.com/wp-content/uploads/2018/09/Element.jpg
28,THE PITTMAN HOTEL,2551 Elm St.,Civic Center,469.498.2500,https://downtowndallas.com/wp-content/uploads/2018/09/Element.jpg
29,RITZ CARLTON,2121 McKinney Avenue,Deep Ellum,214-922-0200,https://downtowndallas.com/wp-content/uploads/2018/09/Element.jpg
30,ROSEWOOD CRESCENT HOTEL,400 Crescent Court,Visit Site,214-871-3200,https://downtowndallas.com/wp-content/uploads/2018/09/Fairfield-inn.jpg
31,SHERATON DALLAS,400 Olive Street,Uptown,214-922-8000,https://downtowndallas.com/wp-content/uploads/2018/09/Fairfield-inn.jpg
32,SPRINGHILL SUITES,1907 N. Lamar Street,Uptown,214-999-0500,https://downtowndallas.com/wp-content/uploads/2018/09/Fairmont.jpg
33,THE GUILD HOTEL DOWNTOWN,1601 Elm St.,Main Street District,(512) 623-7480,https://downtowndallas.com/wp-content/uploads/2018/09/Fairmont.jpg
34,THE GUILD HOTEL,3111 North Houston St.,West End Historic District,(512) 623-7480,https://downtowndallas.com/wp-content/uploads/2018/09/Fairmont.jpg
35,THE JOULE,1530 Main St.,Dallas Arts District,214-748-1300,https://downtowndallas.com/wp-content/uploads/2018/09/Hall-arts.png
36,THE STATLER,1914 Commerce,Visit Site,214-459-3930,https://downtowndallas.com/wp-content/uploads/2018/09/Hall-arts.png
37,THE STONELEIGH,2927 Maple Avenue,Victory Park,214-871-7111,https://downtowndallas.com/wp-content/uploads/2018/09/Hall-arts.png
38,THOMPSON DALLAS,205 N Akard St.,Visit Site,469-320-1234,https://downtowndallas.com/wp-content/uploads/2018/09/Hall-arts.png
39,TOWNEPLACE SUITES,555 Evergreen Street,Main Street District,(214) 749-5155,https://downtowndallas.com/wp-content/uploads/2018/09/hampton-inn-suites-dallas.jpg
40,W DALLAS - VICTORY,2440 Victory Park La,Main Street District,214-397-4100,https://downtowndallas.com/wp-content/uploads/2018/09/hampton-inn-suites-dallas.jpg
41,WESTIN DALLAS DOWNTOWN,1201 Main Street,Uptown,972-584-6650,https://downtowndallas.com/wp-content/uploads/2018/09/hampton-inn-suites-dallas.jpg
